method,energy,unit,p1,p2,dev_pct
experiment,-0.00162,K,,,0.0
zero range,-0.00148,K,,,-8.64197530864197
finite range,-0.0016275336674441852,K,,,0.4650412002583426
Square well,-0.0016368469639113324,K,1.333190126894218,0.12032367801004813,1.0399360439094174
Modified Pöschl-Teller,-0.0016275306942047688,K,1.0748737979944545,0.23619980216636738,0.46485766696104935
Gaussian,-0.001627477607161045,K,1.4462299973373036,0.17101746385590208,0.4615806889533891
