case,potential,p1,p1_published,p2,p2_published,a,r0,nodes,converged,max_dev_pct
neutron-neutron,Square well,1.1094088898389292,1.1096,0.39105504294075477,0.3918,-18.499999995428237,2.7000000000006503,0,True,0.19013707484564213
neutron-neutron,Modified Pöschl-Teller,0.907086004268442,0.9071,0.7996220847156765,0.7991,-18.500000000082263,2.7000000000007622,0,True,0.06533409031115323
neutron-neutron,Gaussian,1.2119028165545962,1.2121,0.5679062345107591,0.5672,-18.49999999999564,2.6999999999998088,0,True,0.12451243137501233
neutron-neutron,Lennard-Jones,9.759895117220417,9.86668911,3.004975822502864,3.08836698,-18.50000000098106,2.7000000873043413,0,True,2.7001699615741948
unitarity,Square well,1.2342121819356549,1.2337,0.9997926018431795,1.0,461580925293.39655,0.9999999999999999,0,True,0.04151592248153868
unitarity,Modified Pöschl-Teller,0.9999999999050317,1.0,2.0,2.0,-2031404019202.7039,0.999999999776269,0,True,9.496825548183097e-09
unitarity,Gaussian,1.3420023253872402,1.342,1.4352244230643691,1.4349,-5911602064517.518,1.000000000000077,0,True,0.02260945462186914
unitarity,Lennard-Jones,0.26461550468248546,0.26462461,0.00034068,0.00034068,3848356972169.6704,0.999989617623682,0,True,0.003440843054813847
deuteron,Square well,1.7590108212079625,1.7575,0.49916309178682106,0.5,5.400000000041276,1.699999999999494,1,True,0.1673816426357888
deuteron,Modified Pöschl-Teller,1.4238945846472728,1.4388,0.8860010537592284,0.8631,5.3999999999999755,1.7000000000001452,1,True,2.6533488308687847
deuteron,Gaussian,1.910903961133034,1.9102,0.674817473466291,0.6754,5.400000000001815,1.700000000000198,1,True,0.08624911662852286
deuteron,Lennard-Jones,6.839848147816018,6.81472,0.9127673995427699,0.90485319,5.400000000020327,1.7000001914143896,1,True,0.8746401770181045
