method,energy,unit,p1,p2,dev_pct
experiment,-2.224,MeV,,,0.0
zero range,-1.416,MeV,,,-36.33093525179857
finite range,-2.2228030929285962,MeV,,,-0.053817764001973245
Square well,-2.2057823175361273,MeV,1.7806316083373508,0.48415,-0.8191403985554402
Modified Pöschl-Teller,-2.2265298742299593,MeV,1.4439736513950117,0.853766,0.1137533376780242
Gaussian,-2.2135664865401714,MeV,1.9358514988664068,0.652551,-0.4691327994527317
Lennard-Jones,-2.202560749192502,MeV,7.8432912491180105,1.27426,-0.9639950902652128
