potential,a_fm,r0_fm,n_nodes,r0_error
Square well,-9674.071847683068,1.0000002194718662,0,2.1947186623627601e-07
Modified Pöschl-Teller,-25159781638.895702,0.9999999972228658,0,-2.7771341892801615e-09
Gaussian,-450583.5467408206,1.0002272095359237,0,0.0002272095359237003
Lennard-Jones,47102.93481145152,0.9999828392543102,0,-1.7160745689803747e-05
