sistema,a,r0,unid,E_ref,E_zr,E_zr_artigo,E_fr,E_fr_artigo
dimero_4He,90.4,8.0,Angstrom/K,-0.00162,-0.0014829983658874485,-0.00148,-0.0016308309251665762,-0.00163
deuteron,5.4112,1.7436,fm/MeV,-2.224,-1.4163088226781015,-1.416,-2.223287875417333,-2.223
