potencial,caso,metodo,dr,N,a,erro_a,r0_trap,r0_simpson,erro_r0_trap,erro_r0_simpson
poco,nn,central,0.02,128,-18.5302798521815,0.00013774963955083018,2.6945897805193466,2.6945969334074142,8.621437935857492e-06,5.966923897705624e-06
poco,nn,central,0.01,256,-18.528365653788725,3.443430442444021e-05,2.6946072039783373,2.6946089922817467,2.1554040700024952e-06,1.491745354847627e-06
poco,nn,central,0.005,511,-18.52788778307317,8.642112083688298e-06,2.694611554266361,2.694612003107822,5.409651860939312e-07,3.7439527089819804e-07
poco,nn,central,0.002,1277,-18.527753303376038,1.3838179438425119e-06,2.6946127785426643,2.6946128504125624,8.662302341107147e-08,5.995132780434529e-08
poco,nn,central,0.001,2553,-18.52773407913177,3.4622474204194145e-07,2.6946129535618453,2.6946129715433633,2.1671514549104898e-08,1.4998378936486358e-08
poco,nn,central,0.0005,5105,-18.527729268821233,8.659708435977602e-08,2.6946129973533646,2.6946130018505032,5.420008635144168e-09,3.751071893019814e-09
poco,nn,central,0.0002,12762,-18.527727911777312,1.3353136403845999e-08,2.6946130096862317,2.694613010405831,8.43148389454646e-10,5.760974089156498e-10
poco,nn,numerov,0.02,128,-18.403063036107923,0.006728543862711495,2.694646382186067,2.6946535358365558,1.238405208036818e-05,1.5038849061278012e-05
poco,nn,numerov,0.01,256,-18.465118611984508,0.0033792083694060794,2.694631665593603,2.6946334539446375,6.922565626298172e-06,7.5862420156106395e-06
poco,nn,numerov,0.005,511,-18.49629268259092,0.0016966452849780655,2.6946228491206603,2.6946232979651237,3.650677268417928e-06,3.817248297869079e-06
poco,nn,numerov,0.002,1277,-18.515132053398517,0.0006798249199085275,2.6946170670969325,2.694617138966908,1.5049057969124892e-06,1.5315775211955121e-06
poco,nn,numerov,0.001,2553,-18.521424589091204,0.0003401968874441678,2.6946150602687204,2.694615078250244,7.601501666429826e-07,7.668233042332768e-07
poco,nn,numerov,0.0005,5105,-18.524574679661832,0.0001701765467045296,2.6946140422840905,2.69461404678123,3.823650726767734e-07,3.840340097485104e-07
poco,nn,numerov,0.0002,12762,-18.52646248449149,6.828575556951787e-05,2.694613454343218,2.6946134550628162,1.6417386309577386e-07,1.6444091374670027e-07
mpt,nn,central,0.02,1107,-18.518071641204887,0.00015867839472874642,2.701601579640198,2.7016087777311397,,
mpt,nn,central,0.01,2214,-18.51586806225625,3.966337784630149e-05,2.701698890885062,2.7017006906219594,,
mpt,nn,central,0.005,4428,-18.515317273674146,9.91535704668959e-06,2.7017232170373537,2.7017236669849627,,
