potencial,caso,metodo,dr,N,a,erro_a,r0_trap,r0_simpson,erro_r0_trap,erro_r0_simpson
mpt,nn,central,0.002,11069,-18.51516305443897,1.5859959000764044e-06,2.7017300161936637,2.701730088198889,,
mpt,nn,central,0.001,22137,-18.515140981559856,3.9384252531858004e-07,2.701730953219193,2.7017309712221476,,
mpt,nn,central,0.0005,44274,-18.515135320514094,8.809016852374885e-08,2.701731073398115,2.701731077898854,,
mpt,nn,central,0.0002,110684,-18.515132973696236,3.86611635282997e-08,2.701730567676315,2.7017305683964463,,
mpt,nn,numerov,0.02,1107,-18.515133793083596,5.593842861675221e-09,2.7017241257692337,2.7017313250023154,,
mpt,nn,numerov,0.01,2214,-18.515133694195672,2.5291876759453163e-10,2.701729526135687,2.701731325943967,,
mpt,nn,numerov,0.005,4428,-18.515133686814895,1.4571604662467653e-10,2.7017308734403342,2.701731323392405,,
mpt,nn,numerov,0.002,11069,-18.515133716879713,1.4780809345224902e-09,2.701731271447507,2.7017313434528467,,
mpt,nn,numerov,0.001,22137,-18.51513381166679,6.597518771457184e-09,2.7017313788225112,2.701731396825472,,
mpt,nn,numerov,0.0005,44274,-18.515133877584294,1.0157714741370797e-08,2.701731415551842,2.7017314200525817,,
mpt,nn,numerov,0.0002,110684,-18.51513066585783,1.6330722043451872e-07,2.7017295552058487,2.70172955592598,,
mpt,unitario,central,0.02,467,7047.21548801716,0.00014190001734748484,0.9997036679291859,0.9997036490584112,0.0002963320708141426,0.0002963509415887522
mpt,unitario,central,0.01,933,28135.64299643132,3.554210579552866e-05,0.9999257648417772,0.9999257636575883,7.42351582228018e-05,7.423634241165988e-05
mpt,unitario,central,0.005,1866,112549.70762763589,8.88496310737644e-06,0.9999814415814791,0.9999814415074721,1.8558418520941977e-05,1.8558492527853687e-05
mpt,unitario,central,0.002,4664,703148.2312617353,1.422175233684697e-06,0.9999970291667354,0.9999970291648391,2.9708332646150026e-06,2.9708351608759287e-06
mpt,unitario,central,0.001,9328,2812650.902223741,3.5553647971312287e-07,0.9999992565667357,0.9999992565666171,7.434332642830555e-07,7.434333828548745e-07
mpt,unitario,central,0.0005,18656,11255831.271095837,8.88428386735873e-08,0.999999811139709,0.9999998111397016,1.8886029096165657e-07,1.8886029840015084e-07
mpt,unitario,central,0.0002,46640,72236492.60967754,1.3843418681289078e-08,0.9999999448993973,0.9999999448993969,5.510060274716011e-08,5.510060308022702e-08
mpt,unitario,numerov,0.02,467,30911531.290826764,3.2350387155252195e-08,0.999999956686015,0.9999999566817127,4.3313984954274076e-08,4.3318287290539104e-08
mpt,unitario,numerov,0.01,933,492699074.8641669,2.029636603439367e-09,0.9999999972576433,0.9999999972575758,2.7423566750783834e-09,2.7424241766382806e-09
mpt,unitario,numerov,0.005,1866,7867966083.339257,1.2709780599396512e-10,0.9999999998096957,0.9999999998096948,1.9030432785172025e-10,1.9030521603013995e-10
mpt,unitario,numerov,0.002,4664,157073927369.45703,6.3665848864540856e-12,0.9999999994837472,0.9999999994837473,5.162528182722781e-10,5.162527072499756e-10
mpt,unitario,numerov,0.001,9328,-42086625590.48403,2.376036148144333e-11,0.999999997779478,0.999999997779478,2.2205219885051974e-09,2.2205219885051974e-09
mpt,unitario,numerov,0.0005,18656,-7059467052.625687,1.4165359676371568e-10,0.9999999920019095,0.9999999920019095,7.9980905232091e-09,7.9980905232091e-09
mpt,unitario,numerov,0.0002,46640,-648679455.6376415,1.5415932941339369e-09,0.9999999252741756,0.9999999252741755,7.472582441714337e-08,7.472582452816567e-08
