potencial,caso,metodo,dr,a_num,a_analitico,erro_rel_a,r0_trap,r0_simpson,r0_analitico,erro_rel_r0,nos
poco,nn,central,0.001,-18.52773407913177,-18.527727664374037,3.4622474204194145e-07,2.6946129535618453,2.6946129715433633,2.6946130119581904,1.4998378936486358e-08,0
poco,nn,numerov,0.001,-18.521424589091204,-18.527727664374037,0.0003401968874441678,2.6946150602687204,2.694615078250244,2.6946130119581904,7.668233042332768e-07,0
poco,unitario,central,0.001,-3373061.645871282,-1817730.9837255208,2.536698461539455e-07,1.0000001201535889,1.0000001201536877,1.0000002229618878,1.0280817725296975e-07,0
poco,unitario,numerov,0.001,-9674.071750041907,-1817730.9837255208,0.0001028189542713463,1.0000002194725277,1.0000002194727073,1.0000002229618878,3.4891797221284136e-09,0
poco,deuteron,central,0.001,5.39987256830861,5.399873011948108,8.215739455372599e-08,1.6978042183839035,1.6978041566540345,1.6978042158592737,3.487165281053185e-08,1
poco,deuteron,numerov,0.001,5.40029666946918,5.399873011948108,7.845694151222854e-05,1.6977991745448628,1.6977991128150045,1.6978042158592737,3.005672987192759e-06,1
mpt,nn,central,0.001,-18.515140981559856,-18.515133689512847,3.9384252531858004e-07,2.701730953219193,2.7017309712221476,,,0
mpt,nn,numerov,0.001,-18.51513381166679,-18.515133689512847,6.597518771457184e-09,2.7017313788225112,2.701731396825472,,,0
mpt,unitario,central,0.001,2812650.902223741,-6413262697001887.0,3.5553647971312287e-07,0.9999992565667357,0.9999992565666171,1.0,7.434333828548745e-07,0
mpt,unitario,numerov,0.001,-42086625590.48403,-6413262697001887.0,2.376036148144333e-11,0.999999997779478,0.999999997779478,1.0,2.2205219885051974e-09,0
mpt,deuteron,central,0.001,5.400170895435407,5.400172013725891,2.0708423386736513e-07,1.7299505808079558,1.7299505190825142,,,1
mpt,deuteron,numerov,0.001,5.400172013723381,5.400172013725891,4.64798567099859e-13,1.7299508913771453,1.7299508296517174,,,1
