caso,potencial,v_ajustado,v_artigo,erro_rel_v,mu_ajustado,mu_artigo,erro_rel_mu,a_obtido,r0_obtido,nos,convergiu,C6_ajustado,C6_artigo,erro_rel_C6,C12_ajustado,C12_artigo,erro_rel_C12
nn,poco,1.1092648750828744,1.1096,0.000302023176933619,0.3910814765879327,0.3918,0.0018339035530048342,-18.50000006109491,2.699992783614386,0,True,,,,,,
nn,mpt,0.9070861988290164,0.9071,1.5214608073632618e-05,0.7996239161830072,0.7991,0.0006556328156765989,-18.500000087451266,2.6999934353145663,0,True,,,,,,
nn,gauss,1.211903084711065,1.2121,0.00016245795638558658,0.5679075193796373,0.5672,0.0012473895973859062,-18.500000101413267,2.69999349711741,0,True,,,,,,
unitario,poco,1.2338032631829339,1.2337,8.370202069696298e-05,0.9999609114303372,1.0,3.908856966283736e-05,932826057.5602394,0.9999974595776824,0,True,,,,,,
unitario,mpt,1.0000000000323161,1.0,3.231614975618413e-11,2.0000051292481635,2.0,2.5646240817689403e-06,99955479427.19522,0.9999974330051403,0,True,,,,,,
unitario,gauss,1.34200232545751,1.342,1.7328297390317715e-06,1.4352280810645854,1.4349,0.00022864385294130152,1200764559098.7837,0.9999974513193012,0,True,,,,,,
deuteron,poco,1.7587167595788793,1.7575,0.0006923240847107603,0.4992056959492285,0.5,0.001588608101543043,5.399991354008292,1.6999970461668361,1,True,,,,,,
deuteron,mpt,1.4238729367310416,1.4388,0.010374661710424227,0.8860360037027818,0.8631,0.026573981812978653,5.399996389267754,1.6999545470450217,1,True,,,,,,
deuteron,gauss,1.9109039754134458,1.9102,0.00036853492484856254,0.6748180456874018,0.6754,0.000861643933370182,5.3999953212360445,1.699998550952741,1,True,,,,,,
nn,lj,,,,,,,-18.50000413728617,2.7000873952047497,0,True,9.76304815969028,9.86668911,0.010504126475889275,3.007412939875109,3.08836698,0.02621257144929423
unitario,lj,,,,,,,68283132.47647968,1.0000160903597048,0,True,0.2646429225913453,0.26462461,6.92021476964566e-05,0.00034074262839006004,0.00034068,0.00018383348027484203
deuteron,lj,,,,,,,5.400003426469539,1.6994594603186166,1,True,6.852736582355017,6.81472,0.0055785978521518675,0.9169569399118275,0.90485319,0.013376479240601924
