tabela,caso,potencial,v,mu,a_num,a_artigo,erro_rel_a,r0_num,r0_artigo,erro_rel_r0,nos,nos_esperado,C6,C12
Tabela 3,nn,poco,1.1096,0.3918,-18.521424589091204,-18.52,0.001158085896821834,2.694615078250244,2.7,0.001994415462872724,0,0,,
Tabela 3,nn,mpt,0.9071,0.7991,-18.51513381166679,-18.51,0.0008180438738805081,2.701731396825472,2.7,0.000641258083508135,0,0,,
Tabela 3,nn,gauss,1.2121,0.5672,-18.553985155978136,-18.55,0.00291811653935871,2.7030741305432584,2.7,0.0011385668678734163,0,0,,
Tabela 3,unitario,poco,1.2337,1.0,-9674.071750041907,-100000.0,0.00010336909068259372,1.0000002194727073,1.0,2.1947270734123947e-07,0,0,,
Tabela 3,unitario,mpt,1.0,2.0,-42086625590.48403,1000000000.0,2.376051740831663e-11,0.999999997779478,1.0,2.2205219885051974e-09,0,0,,
Tabela 3,unitario,gauss,1.342,1.4349,-450582.60147622955,-100000.0,2.2193488979018088e-06,1.0002272094368625,1.0,0.00022720943686249662,0,0,,
Tabela 3,deuteron,poco,1.7575,0.5,5.40029666946918,5.4,5.493879058875521e-05,1.6977991128150045,1.7,0.0012946395205855577,1,1,,
Tabela 3,deuteron,mpt,1.4388,0.8631,5.400172013723381,5.4,3.1854393218650936e-05,1.7299508296517174,1.73,0.01761813508924557,1,1,,
Tabela 3,deuteron,gauss,1.9102,0.6754,5.4002698517594,5.4,4.997254803690904e-05,1.698930570557417,1.7,0.0006290761426959038,1,1,,
Tabela 4,nn,lj,,,-18.501169197872798,-18.5,6.319988501611472e-05,2.7077609253214696,2.71,0.0028744167857294206,0,0,9.86668911,3.08836698
Tabela 4,unitario,lj,,,47102.93481145152,-100000.0,2.1230099653087497e-05,0.9999828392543102,1.0,1.7160745689803747e-05,0,0,0.26462461,0.00034068
Tabela 4,deuteron,lj,,,5.405278932898227,5.4,0.0009775801663382934,1.6980391862509314,1.7,0.001153419852393256,1,1,6.81472,0.90485319
